year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
2014,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2014-04-07,10,97
2015,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2015-05-13,6,133
2016,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2016-05-10,6,131
2017,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2017-05-18,6,138
2018,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2018-05-07,6,127
2019,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2019-04-29,7,119
2020,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2020-04-26,7,117
2021,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2021-05-10,7,130
2022,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,2022-04-14,10,104
2023,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,2023-05-15,9,135
2024,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2024-05-05,7,126
2025,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,2025-04-09,4,99
1957,HV.0031.0,52.0494498679805,5.84117344359615,great tit,1957-04-28,6,118
1958,HV.0031.0,52.0494498679805,5.84117344359615,great tit,1958-05-26,11,146
1963,HV.0031.0,52.0494498679805,5.84117344359615,great tit,1963-06-02,10,153
1965,HV.0031.0,52.0494498679805,5.84117344359615,great tit,1965-04-22,14,112
1969,HV.0031.0,52.0494498679805,5.84117344359615,coal tit,1969-05-03,7,123
1971,HV.0031.0,52.0494498679805,5.84117344359615,coal tit,1971-04-19,11,109
1972,HV.0031.0,52.0494498679805,5.84117344359615,great tit,1972-05-09,8,130
1974,HV.0031.0,52.043366,5.848378,great tit,1974-06-15,7,166
1975,HV.0031.0,52.043366,5.848378,pied flycatcher,1975-05-21,6,141
1977,HV.0031.0,52.043366,5.848378,great tit,1977-05-14,6,134
1978,HV.0031.0,52.043366,5.848378,blue tit,1978-05-16,10,136
1979,HV.0031.0,52.043366,5.848378,great tit,1979-04-29,10,119
1980,HV.0031.0,52.043366,5.848378,great tit,1980-05-11,4,132
1981,HV.0031.0,52.043366,5.848378,great tit,1981-04-30,10,120
1982,HV.0031.0,52.043366,5.848378,great tit,1982-04-21,7,111
1983,HV.0031.0,52.043366,5.848378,pied flycatcher,1983-05-03,7,123
1984,HV.0031.0,52.043366,5.848378,great tit,1984-04-27,9,118
1985,HV.0031.0,52.043366,5.848378,great tit,1985-06-09,10,160
1986,HV.0031.0,52.043366,5.848378,great tit,1986-06-20,8,171
1987,HV.0031.0,52.043366,5.848378,pied flycatcher,1987-05-10,6,130
1988,HV.0031.0,52.043366,5.848378,pied flycatcher,1988-05-12,7,133
1989,HV.0031.0,52.043366,5.848378,pied flycatcher,1989-05-14,5,134
1990,HV.0031.0,52.043366,5.848378,blue tit,1990-04-17,7,107
1991,HV.0031.0,52.043366,5.848378,great tit,NA,0,NA
1994,HV.0031.0,52.043366,5.848378,pied flycatcher,1994-05-06,7,126
1995,HV.0031.0,52.043366,5.848378,blue tit,1995-04-23,2,113
1996,HV.0031.0,52.043366,5.848378,great tit,1996-05-02,8,123
1997,HV.0031.0,52.043366,5.848378,blue tit,1997-04-13,7,103
1998,HV.0031.0,52.043366,5.848378,great tit,1998-04-22,12,112
1999,HV.0031.0,52.043366,5.848378,pied flycatcher,1999-05-14,7,134
2001,HV.0031.0,52.043366,5.848378,pied flycatcher,2001-05-12,7,132
2003,HV.0031.0,52.043366,5.848378,great tit,2003-04-20,8,110
2005,HV.0031.0,52.043366,5.848378,pied flycatcher,2005-05-07,6,127
2006,HV.0031.0,52.043366,5.848378,pied flycatcher,2006-05-01,6,121
2007,HV.0031.0,52.043366,5.848378,pied flycatcher,2007-04-28,7,118
2008,HV.0031.0,52.043366,5.848378,nuthatch,2008-04-11,7,102
2009,HV.0031.0,52.043366,5.848378,great tit,2009-05-23,7,143
2010,HV.0031.0,52.043366,5.848378,great tit,2010-05-19,9,139
2011,HV.0031.0,52.043366,5.848378,pied flycatcher,2011-05-08,6,128
2012,HV.0031.0,52.043366,5.848378,blue tit,2012-04-11,10,102
2014,HV.0031.0,52.043366,5.848378,blue tit,2014-04-24,9,114
2015,HV.0031.0,52.043366,5.848378,great tit,2015-05-25,7,145
2016,HV.0031.0,52.043366,5.848378,pied flycatcher,2016-05-09,6,130
2017,HV.0031.0,52.043366,5.848378,pied flycatcher,2017-05-05,7,125
2018,HV.0031.0,52.043366,5.848378,pied flycatcher,2018-05-09,7,129
2020,HV.0031.0,52.043366,5.848378,great tit,2020-04-17,10,108
2021,HV.0031.0,52.043366,5.848378,great tit,2021-04-26,NA,116
2022,HV.0031.0,52.043366,5.848378,great tit,2022-04-17,12,107
2023,HV.0031.0,52.043366,5.848378,pied flycatcher,2023-05-05,7,125
2024,HV.0031.0,52.043366,5.848378,blue tit,2024-04-07,11,98
2025,HV.0031.0,52.043366,5.848378,pied flycatcher,2025-04-28,7,118
2000,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2000-05-07,10,128
2001,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2001-04-26,12,116
2002,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2002-04-23,13,113
2003,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2003-05-22,0,142
2006,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2006-04-21,14,111
2007,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2007-04-10,3,100
2008,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2008-04-17,13,108
2009,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2009-04-09,5,99
2010,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2010-04-13,14,103
2011,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2011-04-14,13,104
2012,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2012-04-09,11,100
2014,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2014-04-12,0,102
2015,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2015-04-24,10,114
2016,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2016-04-21,5,112
2017,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2017-04-04,10,94
2018,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2018-04-12,0,102
2019,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2019-04-07,9,97
2020,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2020-04-09,10,100
2021,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2021-04-17,13,107
2022,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2022-04-12,12,102
2023,HV.0031.S,52.0433663053987,5.84837783931988,blue tit,2023-04-17,5,107
2024,HV.0031.S,52.0433663053987,5.84837783931988,great tit,2024-04-08,11,99
2025,HV.0031.S,52.0433663053987,5.84837783931988,great tit,2025-04-12,10,102
1957,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1957-04-22,8,112
1960,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1960-04-19,8,110
1961,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1961-04-12,11,102
1965,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1965-06-11,9,162
1968,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1968-06-07,9,159
1970,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1970-05-11,9,131
1971,HV.0032.0,52.0490065186556,5.83972276795347,great tit,1971-04-28,9,118
1972,HV.0032.0,52.0490065186556,5.83972276795347,pied flycatcher,1972-05-09,6,130
1973,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1973-04-26,11,116
1974,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1974-04-16,10,106
1975,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1975-05-02,8,122
1976,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1976-05-01,5,122
1977,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1977-05-03,10,123
1978,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1978-06-09,2,160
1979,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1979-04-23,13,113
1980,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1980-04-19,10,110
1981,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1981-04-22,0,112
1982,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1982-04-21,8,111
1983,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1983-04-24,11,114
1984,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1984-04-27,10,118
1985,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1985-05-16,7,136
1986,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1986-04-28,12,118
1987,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1987-06-08,7,159
1988,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1988-04-27,7,118
1990,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1990-05-31,8,151
1991,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1991-05-10,6,130
1992,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1992-05-05,7,126
1995,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1995-05-21,6,141
1996,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,1996-04-26,14,117
1997,HV.0032.0,52.0438581797957,5.84900969522472,great tit,1997-06-02,0,153
1999,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,1999-05-11,7,131
2001,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2001-04-12,11,102
2002,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,2002-04-16,6,106
2004,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2004-05-03,5,124
2005,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2005-05-06,7,126
2007,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2007-04-09,11,99
2008,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2008-04-20,8,111
2009,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2009-06-08,4,159
2010,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2010-04-30,7,120
2011,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2011-04-24,7,114
2012,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2012-05-04,6,125
2013,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2013-05-07,7,127
2014,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2014-05-10,8,130
2015,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2015-05-19,6,139
2016,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2016-05-24,8,145
2017,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2017-04-09,8,99
2018,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2018-05-08,7,128
2019,HV.0032.0,52.0438581797957,5.84900969522472,great tit,2019-05-21,7,141
2021,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,2021-04-18,12,108
2022,HV.0032.0,52.0438581797957,5.84900969522472,pied flycatcher,2022-05-17,3,137
2023,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,2023-04-27,7,117
2024,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,2024-04-08,11,99
2025,HV.0032.0,52.0438581797957,5.84900969522472,blue tit,2025-04-08,10,98
1962,HV.0033.0,52.04827629787,5.83753020482596,short-toed treecreeper,1962-04-30,5,120
1972,HV.0033.0,52.04827629787,5.83753020482596,great tit,1972-04-21,6,112
1973,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1973-04-27,12,117
1975,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1975-04-23,8,113
1976,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1976-04-23,13,114
1977,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1977-04-29,9,119
1978,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1978-05-01,7,121
1979,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1979-04-27,10,117
1980,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1980-04-16,7,107
1981,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1981-05-12,6,132
1983,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1983-04-24,7,114
1984,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1984-05-27,0,148
1985,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1985-06-05,9,156
1986,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1986-06-12,8,163
1988,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1988-05-04,5,125
1990,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1990-04-14,9,104
1991,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1991-04-13,10,103
1992,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1992-04-20,0,111
1993,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,1993-05-04,6,124
1994,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,1994-05-03,7,123
1995,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1995-04-26,11,116
1996,HV.0033.0,52.0425034713638,5.84836894796874,great tit,1996-04-26,11,117
1997,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1997-04-13,0,103
1998,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,1998-05-17,6,137
1999,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,1999-05-05,11,125
2000,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2000-04-19,0,110
2001,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2001-04-29,9,119
2002,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,2002-05-06,7,126
2004,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2004-04-19,9,110
2005,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2005-05-02,0,122
2006,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2006-04-24,5,114
2007,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2007-04-14,12,104
2008,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2008-04-16,5,107
2010,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2010-04-15,13,105
2011,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2011-04-13,11,103
2012,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2012-04-11,11,102
2013,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2013-05-02,11,122
2014,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,2014-05-11,7,131
2016,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2016-05-04,8,125
2017,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2017-05-17,7,137
2018,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2018-04-21,10,111
2019,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2019-04-11,8,101
2020,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,2020-04-25,NA,116
2021,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2021-06-01,8,152
2022,HV.0033.0,52.0425034713638,5.84836894796874,pied flycatcher,2022-05-05,6,125
2023,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2023-05-06,10,126
2024,HV.0033.0,52.0425034713638,5.84836894796874,blue tit,2024-04-09,10,100
2025,HV.0033.0,52.0425034713638,5.84836894796874,great tit,2025-04-17,9,107
1955,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1955-04-30,10,120
1957,HV.0034.0,52.0476277012352,5.83820695459874,coal tit,1957-04-22,10,112
1960,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1960-04-22,8,113
1961,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1961-04-15,10,105
1964,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1964-06-19,6,171
1965,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1965-06-12,7,163
1966,HV.0034.0,52.0476277012352,5.83820695459874,pied flycatcher,1966-05-07,5,127
1967,HV.0034.0,52.0476277012352,5.83820695459874,pied flycatcher,1967-05-07,6,127
1968,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1968-04-24,11,115
1969,HV.0034.0,52.0476277012352,5.83820695459874,pied flycatcher,NA,NA,NA
1970,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1970-06-13,8,164
1971,HV.0034.0,52.0476277012352,5.83820695459874,great tit,1971-05-14,10,134
1972,HV.0034.0,52.0476277012352,5.83820695459874,blue tit,1972-04-22,11,113
1973,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1973-04-30,11,120
1974,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1974-04-16,9,106
1975,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,1975-04-23,11,113
1976,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,1976-04-18,12,109
1977,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,1977-04-25,12,115
1978,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,1978-05-24,0,144
1979,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1979-05-02,11,122
1980,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,1980-04-19,8,110
1981,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1981-04-19,9,109
1982,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1982-04-21,10,111
1983,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1983-06-01,7,152
1984,HV.0034.0,52.0421141357937,5.84909372982361,coal tit,1984-04-25,7,116
1985,HV.0034.0,52.0421141357937,5.84909372982361,coal tit,1985-04-21,9,111
1987,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1987-04-23,11,113
1988,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1988-04-29,5,120
1989,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,1989-05-16,6,136
1990,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,1990-05-07,6,127
1991,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1991-04-21,8,111
1992,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1992-05-20,11,141
1993,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,1993-05-04,6,124
1994,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1994-04-20,9,110
1996,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,1996-05-20,6,141
1997,HV.0034.0,52.0421141357937,5.84909372982361,great tit,1997-06-04,7,155
1998,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,1998-05-20,6,140
2000,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2000-04-27,10,118
2001,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2001-05-05,0,125
2002,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2002-05-09,9,129
2003,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2003-04-14,8,104
2005,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2005-04-17,8,107
2006,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2006-04-12,11,102
2007,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2007-04-10,11,100
2008,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2008-04-21,6,112
2010,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2010-04-08,12,98
2011,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2011-04-17,0,107
2012,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2012-04-17,12,108
2014,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2014-04-08,10,98
2015,HV.0034.0,52.0421141357937,5.84909372982361,pied flycatcher,2015-05-14,5,134
2016,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2016-04-22,9,113
2018,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2018-04-16,11,106
2019,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2019-04-10,11,100
2020,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2020-04-11,11,102
2021,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2021-04-22,12,112
2022,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2022-04-18,9,108
2024,HV.0034.0,52.0421141357937,5.84909372982361,great tit,2024-04-13,10,104
2025,HV.0034.0,52.0421141357937,5.84909372982361,blue tit,2025-04-09,11,99
1955,HV.0035.0,52.04684919868,5.83733606082273,great tit,1955-06-19,10,170
1957,HV.0035.0,52.04684919868,5.83733606082273,great tit,1957-04-17,9,107
1958,HV.0035.0,52.04684919868,5.83733606082273,great tit,1958-06-16,10,167
1959,HV.0035.0,52.04684919868,5.83733606082273,great tit,1959-05-30,5,150
1961,HV.0035.0,52.04684919868,5.83733606082273,great tit,1961-04-16,11,106
1962,HV.0035.0,52.04684919868,5.83733606082273,great tit,1962-06-09,11,160
1963,HV.0035.0,52.04684919868,5.83733606082273,redstart,1963-05-16,6,136
1964,HV.0035.0,52.04684919868,5.83733606082273,redstart,1964-06-02,7,154
1966,HV.0035.0,52.04684919868,5.83733606082273,pied flycatcher,1966-05-21,4,141
1967,HV.0035.0,52.04684919868,5.83733606082273,pied flycatcher,1967-05-16,6,136
1968,HV.0035.0,52.04684919868,5.83733606082273,great tit,1968-04-21,11,112
1969,HV.0035.0,52.04684919868,5.83733606082273,great tit,1969-04-25,11,115
1970,HV.0035.0,52.04684919868,5.83733606082273,great tit,1970-04-28,10,118
1971,HV.0035.0,52.04684919868,5.83733606082273,blue tit,1971-04-20,14,110
1972,HV.0035.0,52.04684919868,5.83733606082273,great tit,1972-04-17,10,108
1974,HV.0035.0,52.0425251730501,5.84971016445021,pied flycatcher,1974-05-17,6,137
1976,HV.0035.0,52.0425251730501,5.84971016445021,great tit,1976-04-26,10,117
1977,HV.0035.0,52.0425251730501,5.84971016445021,great tit,1977-04-27,6,117
1978,HV.0035.0,52.0425251730501,5.84971016445021,pied flycatcher,1978-05-10,6,130
1979,HV.0035.0,52.0425251730501,5.84971016445021,great tit,1979-06-17,7,168
